binomial,calculated_rarity,output_rarity,justification
"Xylocopa violacea: iso. Amiet et al: 2007","NS","NS",""
"Microdynerus exilis: iso. Richards: 1980","NF","NF",""
"Ponera coarctata: iso. Csösz & Seifert: 2003","NR","ID",""
"Ponera testacea: iso. Csösz & Seifert: 2003","NR","ID",""
"Psenulus chevrieri: iso. Schmid-Egger: 2016","NR","ID","Recent split"
"Psenulus pallipes: iso. Schmid-Egger: 2016","NS","ID","Recent split"
"Psenulus schencki: iso. Richards: 1980","NS","NS",""
"Psenulus concolor: iso. Richards: 1980","NF","NF",""
"Vespa crabro: iso. Archer: 1989","NF","NF",""
"Tetramorium atratulum: iso. Seifert: 2007","NR","ID",""
"Tetramorium caespitum: iso. Schlick-Steiner: 2006","NF","NF",""
"Tetramorium bicarinatum: iso. Bolton: 2019","NR","",""
"Lonchodryinus ruficornis: iso. Olmi: 1994","NS","NS",""
"Dolichovespula sylvestris: iso. Archer: 1989","NF","NF",""
"Dolichovespula saxonica: iso. Archer: 1989","NF","NF",""
"Dolichovespula norwegica: iso. Archer: 1989","NF","NF",""
"Dolichovespula media: iso. Archer: 1989","NF","NF",""
"Bombus cryptarum: iso. Murray et al: 2008","NS","ID","Subject of a fairly recent split, which so far can only be reliably determined across the range by genetic or chemical analysis."
"Bombus magnus: iso. Murray et al: 2008","NS","ID","Subject of a fairly recent split, which so far can only be reliably determined across the range by genetic or chemical analysis."
"Bombus lucorum agg: iso. Murray et al: 2008","NF","NF",""
"Bombus lucorum: iso. Murray et al: 2008","NS","ID","Subject of a fairly recent split, which so far can only be reliably determined across the range by genetic or chemical analysis."
"Bombus sylvarum: iso. Cameron et al: 2007","NS","NS",""
"Bombus ruderarius: iso. Cameron et al: 2007","NF","NS","The current distribution and maps show many locations plotted which are dubious."
"Bombus pascuorum: iso. Cameron et al: 2007","NF","NF",""
"Bombus muscorum: iso. Cameron et al: 2007","NF","NF",""
"Bombus humilis: iso. Cameron et al: 2007","NF","NF",""
"Bombus subterraneus: iso. Cameron et al: 2007","NR","EX",""
